[462.00653 105.0057 ]
[466.51273 147.8204 ]
[471.37952 192.35818]
[477.61084 237.25763]
[481.46872 289.094  ]
[487.21152 342.86746]
[490.5208  402.51883]
[413.41522 106.16904]
[416.13074 149.44357]
[419.42575 193.22968]
[424.16708 238.98566]
[426.48773 289.28983]
[430.30264 344.95142]
[433.33136 401.19647]
[364.85693 107.34671]
[366.4831  150.31628]
[368.00992 193.94438]
[370.0845  237.56314]
[371.1149  289.70694]
[373.51862 343.22403]
[375.20557 403.08832]
[316.6201 109.7559]
[316.47937 150.54991]
[316.79376 194.43083]
[319.  236.5]
[316.88162 290.12222]
[316.39044 344.22495]
[316.4678  402.15906]
[268.49872  110.157814]
[266.9671 150.5063]
[265.3301  193.81758]
[263.50534 236.80237]
[260.8903  289.18842]
[260.24277 344.07108]
[257.7347  402.16913]
[220.2442  110.59168]
[216.73677 150.70853]
[213.46227 193.04747]
[209.15863 236.7638 ]
[206.33992 289.817  ]
[202.50266 343.77194]
[200.15994 401.16107]
[171.97926 111.23369]
[167.2098  151.71973]
[161.48941 193.195  ]
[155.23203 236.69244]
[149.9994  288.55093]
[147.12352 343.16833]
[139.81383 401.48257]
